Price,Adj Close,Close,High,Low,Open,Volume
Ticker,LMT,LMT,LMT,LMT,LMT,LMT
Date,,,,,,
2000-01-03,10.546765327453613,20.25,22.3125,20.25,22.0,3011300
2000-01-04,10.904839515686035,20.9375,21.3125,20.0,20.0,3593500
2000-01-05,10.969941139221191,21.0625,21.625,20.5,21.25,1721200
2000-01-06,11.132695198059082,21.375,21.75,21.0,21.0,1750700
2000-01-07,11.165253639221191,21.4375,22.0625,21.1875,21.75,2203200
2000-01-10,10.742082595825195,20.625,21.5,20.5625,21.375,1361000
2000-01-11,10.384002685546875,19.9375,20.75,19.75,20.5,2236100
2000-01-12,11.035048484802246,21.1875,21.25,20.0,20.0,3562400
2000-01-13,10.80717945098877,20.75,21.4375,20.5625,21.4375,2871700
2000-01-14,10.67697525024414,20.5,20.9375,20.5,20.75,1609300
2000-01-18,10.41656494140625,20.0,21.25,19.75,21.0,3763800
2000-01-19,10.774636268615723,20.6875,20.75,20.0,20.0625,2270500
2000-01-20,10.709527969360352,20.5625,20.6875,20.375,20.5,2321600
2000-01-21,10.937392234802246,21.0,21.1875,20.625,20.75,2340600
2000-01-24,10.188700675964355,19.5625,21.0625,19.5625,20.9375,1917000
2000-01-25,10.025940895080566,19.25,19.9375,19.125,19.5625,2022500
2000-01-26,10.449114799499512,20.0625,20.0625,19.25,19.4375,2020300
2000-01-27,10.123594284057617,19.4375,20.0,19.0,19.9375,2236300
2000-01-28,9.830625534057617,18.875,19.9375,18.3125,19.0,2213200
2000-01-31,9.635321617126465,18.5,18.875,18.1875,18.3125,1528600
2000-02-01,9.732972145080566,18.6875,18.875,18.375,18.75,737300
2000-02-02,9.732972145080566,18.6875,18.8125,18.1875,18.4375,1633700
2000-02-03,9.700421333312988,18.625,18.9375,18.5,18.625,1830200
2000-02-04,9.96083927154541,19.125,19.3125,18.375,18.75,2012900
2000-02-07,9.765523910522461,18.75,19.5,18.25,19.25,1633700
2000-02-08,9.570216178894043,18.375,18.375,17.875,18.3125,2110300
2000-02-09,9.570216178894043,18.375,18.5,17.875,17.875,1863800
2000-02-10,9.537663459777832,18.3125,18.5,18.0625,18.0625,1814500
2000-02-11,9.114487648010254,17.5,18.3125,17.375,18.125,1821000
2000-02-14,9.407461166381836,18.0625,18.125,17.5,17.75,1839400
2000-02-15,9.440010070800781,18.125,18.1875,17.8125,18.0,1273200
2000-02-16,9.244696617126465,17.75,18.0625,17.5,17.5,1630600
2000-02-17,9.37490463256836,18.0,18.25,17.8125,17.9375,4412100
2000-02-18,9.081936836242676,17.4375,17.875,17.0,17.75,1651200
2000-02-22,9.37490463256836,18.0,18.0,17.0625,17.0625,1411100
2000-02-23,9.27724838256836,17.8125,17.9375,17.5,17.9375,1358100
2000-02-24,9.147045135498047,17.5625,17.6875,17.1875,17.625,1248100
2000-02-25,9.244696617126465,17.75,17.9375,17.5625,17.625,1691300
2000-02-28,9.114487648010254,17.5,17.625,17.125,17.5625,1022400
2000-02-29,9.081936836242676,17.4375,17.875,17.125,17.4375,1285400
2000-03-01,9.212148666381836,17.6875,17.6875,17.375,17.4375,1331700
2000-03-02,8.974994659423828,17.125,17.5625,17.0,17.5,1398200
2000-03-03,8.909492492675781,17.0,17.1875,16.875,17.0625,1733200
2000-03-06,9.433570861816406,18.0,18.25,17.75,17.75,3775600
2000-03-07,9.073261260986328,17.3125,18.0,17.3125,18.0,1289900
2000-03-08,9.237041473388672,17.625,17.625,17.25,17.25,2051400
2000-03-09,8.974994659423828,17.125,17.5,17.0,17.5,1706700
2000-03-10,8.811222076416016,16.8125,17.125,16.6875,17.125,2631700
2000-03-13,8.876730918884277,16.9375,17.0,16.625,16.8125,1434800
2000-03-14,8.71295166015625,16.625,17.0,16.5,17.0,1853600
2000-03-15,8.974994659423828,17.125,17.1875,16.5,16.625,4062700
2000-03-16,9.46633243560791,18.0625,18.25,17.0,17.1875,3771400
2000-03-17,9.433570861816406,18.0,18.75,17.625,18.0625,6524300
2000-03-20,9.310742378234863,17.765625,18.0,17.625,18.0,1103600
2000-03-21,9.073261260986328,17.3125,17.625,17.0625,17.25,1439200
2000-03-22,8.974994659423828,17.125,17.3125,16.9375,17.25,1424500
2000-03-23,8.942238807678223,17.0625,17.375,16.9375,17.0625,918700
2000-03-24,9.171526908874512,17.5,17.75,17.0625,17.0625,2166100
2000-03-27,9.33530330657959,17.8125,17.875,17.25,17.5,1698000
2000-03-28,9.826638221740723,18.75,19.1875,18.0625,18.25,3675900
2000-03-29,10.088683128356934,19.25,19.25,18.3125,18.5625,3296200
2000-03-30,10.940325736999512,20.875,21.25,19.5,19.75,4674400
2000-03-31,10.711037635803223,20.4375,21.0625,19.6875,21.0625,2365800
2000-04-03,10.711037635803223,20.4375,20.875,20.0625,20.0625,1050100
2000-04-04,10.645527839660645,20.3125,21.6875,20.125,21.0,2551700
2000-04-05,10.97308349609375,20.9375,21.625,20.3125,20.3125,1390500
2000-04-06,11.104103088378906,21.1875,22.0625,20.625,21.75,2202200
2000-04-07,11.038593292236328,21.0625,21.5,20.6875,21.3125,1330000
2000-04-10,11.071343421936035,21.125,21.1875,20.3125,20.5,1263400
2000-04-11,10.940325736999512,20.875,21.1875,20.875,20.9375,1365200
2000-04-12,11.562677383422852,22.0625,22.1875,20.9375,20.9375,2865000
2000-04-13,11.333388328552246,21.625,22.0,21.0625,21.375,3730500
2000-04-14,10.842063903808594,20.6875,21.25,20.375,21.1875,2415400
2000-04-17,11.169615745544434,21.3125,21.3125,19.8125,20.625,2157200
2000-04-18,11.005836486816406,21.0,21.125,20.625,21.125,1432900
2000-04-19,10.940325736999512,20.875,21.25,20.8125,20.9375,1112900
2000-04-20,11.890230178833008,22.6875,22.875,21.5625,21.75,2877000
2000-04-24,13.560763359069824,25.875,25.9375,22.3125,22.375,5205300
2000-04-25,13.396984100341797,25.5625,26.4375,24.5,25.875,5013300
2000-04-26,12.643610000610352,24.125,24.875,23.8125,24.75,3442200
2000-04-27,12.512588500976562,23.875,24.4375,23.375,24.0,1761100
2000-04-28,13.0366792678833,24.875,26.0625,24.0,24.0,3415700
2000-05-01,14.150362968444824,27.0,27.3125,24.125,24.25,2702000
2000-05-02,13.659029006958008,26.0625,26.6875,26.0,26.25,2304900
2000-05-03,13.396984100341797,25.5625,26.3125,25.375,25.8125,1438500
2000-05-04,13.790051460266113,26.3125,27.125,25.5,25.5625,1659000
2000-05-05,13.724540710449219,26.1875,26.1875,25.625,25.75,1751900
2000-05-08,13.659029006958008,26.0625,26.25,25.75,26.0,1038600
2000-05-09,13.626270294189453,26.0,26.25,25.75,25.8125,765900
2000-05-10,13.659029006958008,26.0625,26.25,25.75,25.8125,1188300
2000-05-11,13.724540710449219,26.1875,26.4375,25.9375,26.0,846200
2000-05-12,13.528006553649902,25.8125,26.125,25.5625,25.625,814300
2000-05-15,13.42973804473877,25.625,25.9375,25.375,25.6875,682000
2000-05-16,13.200451850891113,25.1875,25.375,24.6875,24.75,1051600
2000-05-17,12.872901916503906,24.5625,25.375,24.5,24.9375,2000700
2000-05-18,13.0366792678833,24.875,25.1875,24.4375,24.4375,2073900
2000-05-19,12.741878509521484,24.3125,24.5625,23.625,24.125,1286300
2000-05-22,12.348810195922852,23.5625,24.6875,23.25,24.375,1283800
2000-05-23,13.16769790649414,25.125,25.3125,23.625,24.25,1109300
2000-05-24,13.134939193725586,25.0625,25.3125,24.5,25.0,2029800
2000-05-25,12.741878509521484,24.3125,25.0625,24.0625,24.8125,822600
2000-05-26,12.610855102539062,24.0625,24.75,23.875,24.5625,501000
2000-05-30,13.030730247497559,24.75,25.0,24.1875,24.3125,1195400
2000-05-31,12.997822761535645,24.6875,24.9375,23.8125,24.875,947700
2000-06-01,13.195263862609863,25.0625,25.0625,24.1875,24.375,876900
2000-06-02,13.655946731567383,25.9375,26.0625,25.3125,25.3125,1608900
2000-06-05,13.623041152954102,25.875,25.9375,25.5,25.9375,1070800
2000-06-06,13.655946731567383,25.9375,26.25,25.6875,26.0,937000
2000-06-07,13.359794616699219,25.375,25.9375,24.875,25.9375,514400
2000-06-08,13.030730247497559,24.75,25.5,24.25,24.875,1071100
2000-06-09,13.326891899108887,25.3125,25.4375,24.8125,24.875,891100
2000-06-12,13.458513259887695,25.5625,25.9375,25.3125,25.4375,744500
2000-06-13,13.293984413146973,25.25,25.375,24.8125,25.3125,479200
2000-06-14,12.997822761535645,24.6875,25.5,24.625,25.375,668000
2000-06-15,13.162360191345215,25.0,25.3125,24.875,25.125,1635700
2000-06-16,12.80039119720459,24.3125,25.0,24.3125,25.0,878600
2000-06-19,12.997822761535645,24.6875,24.6875,23.9375,24.4375,731600
2000-06-20,12.899103164672852,24.5,24.6875,23.75,24.6875,812000
2000-06-21,12.635866165161133,24.0,24.875,24.0,24.4375,475900
2000-06-22,12.47132682800293,23.6875,24.1875,22.8125,24.1875,318500
2000-06-23,12.734582901000977,24.1875,24.4375,23.6875,23.875,1210100
2000-06-26,13.063642501831055,24.8125,25.1875,23.8125,23.9375,1024200
2000-06-27,12.80039119720459,24.3125,25.0625,24.25,24.9375,1267100
2000-06-28,12.47132682800293,23.6875,23.6875,22.4375,23.5,2307000
2000-06-29,13.162360191345215,25.0,25.0,22.75,23.0625,2140000
2000-06-30,13.063642501831055,24.8125,25.125,24.125,24.5,1432400
2000-07-03,12.80039119720459,24.3125,24.625,24.0625,24.625,691800
2000-07-05,13.162360191345215,25.0,25.375,24.1875,24.1875,1005500
2000-07-06,13.293984413146973,25.25,25.5,24.5,24.5,982000
2000-07-07,13.326891899108887,25.3125,25.375,24.8125,25.125,744700
2000-07-10,13.261075019836426,25.1875,25.4375,25.0,25.3125,612000
2000-07-11,13.030730247497559,24.75,25.0625,24.5625,24.9375,620000
2000-07-12,13.195263862609863,25.0625,25.1875,24.1875,24.1875,521500
